id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-02-04T20:01:52;payment unleash Jamaican Dollar;1
2;Rest;2020-02-05T15:18:22;Plains;2
3;Quality Plastic plum;2020-02-04T19:38:44;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-02-05T16:05:56;Architect SSL;4
5;zero tolerance;2020-02-05T13:02:15;user-facing CSS;5
6;ADP Ouguiya;2020-02-05T08:58:43;Garden;6
7;auxiliary;2020-02-05T17:14:43;functionalities Bedfordshire withdrawal;7
8;Data;2020-02-04T20:12:44;Viaduct hybrid;8
9;mesh;2020-02-05T18:38:23;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-02-05T16:37:17;Re-engineered withdrawal Ball;10
